Democrat,Joe,77,White,Cat,dem0@gmail.com,33600000000
Democrat,Rhys,20,White,Ferret,dem1@gmail.com,3361111111
Democrat,Quinn,19,White,Cat,dem2@gmail.com,3362222222
Democrat,Vatsala,25,Asian,Parrot,dem3@gmail.com,3363333333
Democrat,Starr,32,Black,Fox,dem4@gmail.com,3364444444
Democrat,Vivien,40,Asian,Ferret,dem5@gmail.com,3365555555
Democrat,Wendy,20,Asian,Dog,dem6@gmail.com,3366666666
Democrat,Alan,39,White,Dog,dem7@gmail.com,3367777777
Democrat,Ada,26,White,Dog,dem8@gmail.com,3368888888
Democrat,Charles,43,White,Cat,dem9@gmail.com,3369999999
Republican,Kanye,43,Black,Tiger,rep0@gmail.com,7370000000
Republican,Alice,40,White,Cat,rep1@gmail.com,7371111111
Republican,Bob,50,Black,Dog,rep2@gmail.com,7372222222
Republican,Carol,44,Asian,Cat,rep3@gmail.com,7373333333
Republican,Craig,35,White,Cat,rep4@gmail.com,7374444444
Republican,Dan,84,White,Fox,rep5@gmail.com,7375555555
Republican,Eve,25,White,Tiger,rep6@gmail.com,7376666666
Republican,Frank,45,White,Ferret,rep7@gmail.com,7377777777
Republican,Olivia,87,Black,Parrot,rep8@gmail.com,7378888888
Republican,Peggy,33,Asian,Dog,rep9@gmail.com,7379999999
